Price,Levy,Manufacturer,Model,Prod._year,Category,Leather_interior,Fuel_type,Engine_volume,Mileage,Cylinders,Gear_box_type,Drive_wheels,Color,Airbags
11133,562,37,491,2015,2,Yes,4,1.4,59763,4,1,3,6,6
23505,639,50,1017,2014,8,Yes,7,2.0,31169,4,3,3,14,4
3293,502,40,549,2013,2,Yes,2,1.5,153235,4,3,3,4,12
43576,639,57,1048,2014,8,Yes,7,2.0,90000,4,3,3,12,4
12100,781,40,538,2012,3,No,2,2.5,178700,4,4,3,14,6
19757,906,40,549,2012,3,Yes,2,1.8,184000,4,2,3,16,12
23521,906,40,538,2014,3,Yes,2,2.5,212421,4,2,3,14,12
14583,1172,42,496,2011,3,Yes,7,3.5,230696,6,3,2,12,12
31653,891,50,1017,2016,8,Yes,7,2.0,41674,4,3,3,16,4
10349,924,31,613,2017,3,Yes,4,1.8,67120,4,3,3,6,12
20005,531,50,669,2012,3,Yes,4,1.6,96860,4,3,3,14,4
16465,1017,50,655,2017,3,No,4,2.0,69232,4,3,3,16,8
7840,906,9,218,1998,2,No,4,1.6,200000,4,1,3,6,2
48048,891,50,1069,2016,8,Yes,7,2.0,121098,4,3,3,14,4
4704,761,40,549,2010,3,Yes,2,1.8,319301,4,3,3,14,12
3607,906,9,218,1996,2,No,4,1.6,220000,4,1,3,14,2
42667,765,57,1048,2015,8,Yes,7,2.0,110000,4,3,3,12,4
4704,906,9,218,1994,10,No,1,1.6,156788,4,1,3,1,0
20385,906,38,818,2010,1,No,7,2.2,210000,4,1,3,14,2
2822,906,47,143,1990,3,No,4,2.0,111111,6,1,1,1,2
15681,891,50,604,2016,3,Yes,3,2.0,201876,4,3,3,8,4
2117,642,31,443,2012,3,Yes,7,2.0,150285,4,3,3,8,12
7840,906,41,209,2005,3,No,3,3.0,15500,6,4,3,9,8
18817,906,40,538,2007,3,Yes,2,2.4,151000,4,2,3,12,10
5811,790,8,274,2009,3,Yes,4,1.6,45258,4,3,3,8,4
13485,915,47,903,2014,3,Yes,7,3.0,98368,6,3,2,14,12
20385,906,50,643,2012,2,Yes,4,1.6,120000,6,3,3,12,0
37633,906,33,1106,2011,8,Yes,7,3.0,65000,6,4,2,14,12
8154,906,23,275,2006,3,Yes,4,1.5,150000,4,3,3,12,5
32104,696,43,703,2013,8,Yes,7,2.2,86359,4,3,3,16,4
470,934,23,207,2015,3,Yes,4,2.5,160795,4,3,3,16,12
42692,640,57,1048,2013,8,Yes,7,2.0,105909,4,3,3,14,4
8781,906,42,537,2001,3,No,7,2.2,295000,4,1,1,8,6
9408,906,22,603,2004,4,Yes,4,3.0,168000,6,3,3,4,6
43592,906,47,903,2012,3,Yes,4,3.0,92000,6,4,1,14,8
19757,810,50,669,2016,3,No,4,1.8,113600,4,4,3,16,6
10036,906,40,549,2007,2,No,2,1.5,77777,4,3,3,4,6
2979,640,35,712,2013,8,Yes,4,2.0,103112,4,3,3,8,12
18422,642,40,673,2012,3,Yes,4,2.0,78200,4,3,3,6,4
627,1172,42,496,2011,3,Yes,7,3.5,230696,6,3,2,12,12
34074,639,50,1069,2014,8,Yes,7,2.0,154115,4,3,3,16,4
44533,906,38,1050,2015,4,Yes,4,2.3,48000,4,4,1,8,8
23521,906,44,860,2010,8,Yes,7,2.0,178000,4,3,3,8,4
10976,906,42,385,2001,3,No,4,2.0,20000,4,1,1,6,8
17700,906,38,594,2007,6,No,7,2.2,231000,4,1,3,14,1
8781,906,35,300,2002,8,No,4,2.0,122000,4,4,2,12,4
15800,769,43,703,2011,8,Yes,7,2.2,255456,4,3,3,8,4
1019,1055,25,256,2013,8,Yes,2,3.5,138038,6,3,3,14,12
37984,831,57,1076,2017,8,Yes,7,1.6,82000,4,3,3,1,4
14113,676,31,302,2011,1,No,7,1.9,171000,4,1,3,14,2
6586,906,35,314,1999,8,No,1,2.0,152000,4,3,2,14,4
26657,906,40,538,2012,3,Yes,4,2.5,166400,4,4,3,16,8
18660,765,38,831,2015,3,Yes,4,2.0,111694,4,3,3,2,8
14426,906,52,482,2008,8,No,3,3.7,185600,6,3,2,12,6
9565,919,42,496,2012,3,Yes,7,3.0,171221,6,3,1,12,12
314,640,35,712,2013,8,Yes,4,2.0,191267,4,3,2,14,12
12544,906,35,644,2000,9,Yes,4,3.0,195000,6,3,2,14,2
4547,1018,33,182,2011,3,Yes,4,3.0,193685,6,3,2,12,12
6272,906,41,777,2003,3,No,1,3.0,19900,6,4,3,12,6
10036,906,40,549,2006,3,No,4,1.5,305600,4,3,3,14,0
392,1018,47,595,2011,8,Yes,7,3.0,213195,6,3,2,13,0
48108,765,50,1069,2015,8,Yes,7,2.0,119038,4,3,3,16,4
24543,642,50,1017,2012,8,Yes,7,2.0,151995,4,3,3,16,4
29075,749,52,978,2014,8,Yes,4,2.4,126627,4,3,3,13,4
4077,906,47,206,1995,3,No,4,1.8,300000,4,1,1,12,2
21953,781,40,538,2012,3,Yes,4,2.5,148000,4,4,3,12,8
627,585,40,549,2013,2,Yes,2,1.8,247651,4,3,3,4,12
4704,738,43,452,2017,3,Yes,4,1.4,150453,4,3,3,14,12
15872,531,43,857,2012,8,Yes,7,1.6,255677,4,3,3,8,4
3763,906,42,500,1988,6,No,7,2.4,13758,4,1,1,15,0
15053,906,40,673,2013,2,Yes,2,1.5,143000,4,3,3,6,6
17562,1017,42,743,2017,8,Yes,4,2.0,109608,4,3,3,14,0
6899,906,42,337,2001,3,Yes,1,2.0,100000,4,1,1,8,10
14113,906,42,337,2006,3,Yes,4,2.0,142431,4,4,1,12,6
28830,530,50,669,2013,3,Yes,4,1.6,56764,4,3,3,14,4
18189,906,40,897,2006,8,No,4,2.4,190000,4,3,2,8,6
314,1172,42,496,2011,3,Yes,7,3.5,132630,6,3,1,8,12
9000,906,38,594,1992,6,No,7,2.5,111111,2,1,1,11,1
38580,831,57,1076,2017,8,Yes,7,1.6,97709,4,3,3,14,4
20000,1024,31,872,2010,6,No,7,2.5,215000,4,1,1,14,0
21739,707,57,1048,2011,8,Yes,7,2.0,183590,4,3,3,12,4
1882,1053,42,496,2014,3,Yes,4,3.5,146395,6,3,1,16,12
8311,502,41,777,2013,8,Yes,2,1.5,144872,4,3,3,14,0
40092,730,57,1076,2016,8,Yes,4,1.6,55234,4,3,3,14,4
314,781,21,371,2012,8,Yes,4,2.5,204579,4,3,2,12,0
19444,1079,40,541,2018,8,Yes,4,2.0,40272,4,3,3,16,12
706,645,25,315,2011,2,Yes,2,1.8,116869,4,3,3,12,0
8781,906,40,350,2003,3,No,4,2.0,59000,6,3,1,6,4
10976,906,47,406,2003,3,Yes,4,2.5,182000,6,4,1,16,6
1000,906,38,17,1997,3,Yes,4,1.6,11000,4,1,3,1,8
14426,906,31,443,2012,3,Yes,3,2.5,169600,5,3,3,12,8
24775,906,42,496,2008,3,Yes,4,3.5,163000,6,4,1,12,8
25089,906,50,643,2015,3,Yes,4,1.6,59000,4,4,3,8,8
17876,906,23,376,2012,9,No,4,2.0,143000,4,4,3,14,12
21953,585,40,549,2013,3,Yes,2,1.8,105600,4,3,3,12,10
14113,906,47,833,2005,8,Yes,4,3.0,288000,6,3,2,8,10
35570,877,50,1017,2017,8,Yes,7,1.7,97880,4,3,3,14,4
23521,779,40,538,2013,3,Yes,4,2.5,127000,6,3,3,12,12
21940,640,57,887,2013,11,Yes,7,2.0,147219,4,3,3,8,4
549,1018,47,595,2011,8,Yes,4,3.0,125480,6,3,2,14,12
7056,915,47,595,2014,8,Yes,7,3.0,141384,6,3,2,6,0
2901,585,23,196,2013,3,Yes,4,1.8,183419,4,3,3,16,12
10945,1024,50,1038,2010,9,Yes,7,2.5,112219,4,3,3,8,4
15681,900,44,682,2015,3,No,4,2.4,68000,4,4,3,16,10
