iter	RMSE
0	11079.16527
1	10500.61938
2	9991.089676
3	9524.513288
4	9109.397596
5	8759.544265
6	8446.136457
7	8157.300647
8	7919.533109
9	7677.057685
10	7467.750066
11	7286.874801
12	7125.293469
13	6984.792812
14	6866.011745
15	6736.732448
16	6638.636354
17	6538.448568
18	6470.805079
19	6393.486652
20	6307.574958
21	6245.776083
22	6189.533059
23	6123.805435
24	6082.974424
25	6030.310425
26	5975.137817
27	5942.922154
28	5897.947752
29	5839.035978
30	5806.377681
31	5757.172883
32	5718.110198
33	5682.599183
34	5639.59828
35	5617.021424
36	5575.891874
37	5540.057884
38	5515.190725
39	5496.468227
40	5476.142571
41	5443.496168
42	5407.513037
43	5387.983373
44	5354.950221
45	5335.96317
46	5305.411739
47	5293.161932
48	5276.280743
49	5262.940258
50	5244.886131
51	5226.708161
52	5214.635391
53	5197.706073
54	5191.387629
55	5174.612656
56	5162.750081
57	5137.286903
58	5126.734154
59	5111.317547
60	5100.337012
61	5064.992367
62	5053.637628
63	5030.512294
64	5011.68829
65	4999.214186
66	4987.68371
67	4969.483928
68	4954.786515
69	4930.829644
70	4908.570466
71	4893.31994
72	4881.587551
73	4865.314867
74	4848.292977
75	4842.632048
76	4820.366535
77	4798.744347
78	4776.413604
79	4755.823032
80	4749.423504
81	4736.687254
82	4730.264619
83	4716.349149
84	4700.285157
85	4679.130207
86	4665.465219
87	4650.66885
88	4633.010629
89	4621.580822
90	4616.266073
91	4604.829138
92	4593.036564
93	4582.42474
94	4569.213232
95	4562.848985
96	4546.868553
97	4535.401413
98	4528.689489
99	4518.426619
