iter	Passed	Remaining
0	13	1307
1	26	1292
2	39	1267
3	54	1301
4	68	1292
5	81	1280
6	94	1259
7	109	1255
8	123	1253
9	137	1237
10	151	1226
11	165	1216
12	178	1197
13	191	1178
14	206	1170
15	219	1151
16	232	1135
17	247	1126
18	261	1113
19	273	1095
20	287	1081
21	301	1068
22	315	1054
23	329	1044
24	342	1028
25	356	1015
26	372	1006
27	387	995
28	401	982
29	417	973
30	431	960
31	446	948
32	461	936
33	476	924
34	490	911
35	504	896
36	519	884
37	532	869
38	547	857
39	563	844
40	578	832
41	592	818
42	608	805
43	623	792
44	640	782
45	655	769
46	669	754
47	682	739
48	697	725
49	710	710
50	725	696
51	738	681
52	752	667
53	764	651
54	778	637
55	790	621
56	804	606
57	819	593
58	837	581
59	851	567
60	866	553
61	880	539
62	894	525
63	907	510
64	922	496
65	936	482
66	950	468
67	965	454
68	980	440
69	993	425
70	1008	411
71	1022	397
72	1036	383
73	1049	368
74	1061	353
75	1074	339
76	1089	325
77	1103	311
78	1117	297
79	1131	282
80	1146	268
81	1160	254
82	1175	240
83	1190	226
84	1204	212
85	1218	198
86	1232	184
87	1247	170
88	1261	155
89	1274	141
90	1288	127
91	1302	113
92	1317	99
93	1334	85
94	1347	70
95	1361	56
96	1375	42
97	1390	28
98	1404	14
99	1418	0
