Price,Levy,Manufacturer,Model,Prod._year,Category,Leather_interior,Fuel_type,Engine_volume,Mileage,Cylinders,Gear_box_type,Drive_wheels,Color,Airbags
13328,1399,36,405,2010,7,Yes,2,3.5,186005,6,2,2,7,12
16621,1018,40,349,2011,7,No,4,3.0,192000,6,3,2,11,8
3607,862,42,329,2011,7,Yes,2,2.5,168966,4,2,2,12,0
39493,891,50,1123,2016,7,Yes,7,2.0,160931,4,2,3,12,4
1803,761,37,497,2010,2,Yes,2,1.8,258909,4,2,3,12,12
549,751,50,680,2013,3,Yes,4,2.4,216118,4,2,3,13,12
26657,906,36,668,2007,7,Yes,4,3.5,128500,6,2,2,7,12
941,1053,46,455,2014,3,Yes,7,3.5,184467,6,2,1,12,12
1019,1055,36,405,2013,7,Yes,2,3.5,138038,6,2,3,12,12
59464,891,50,1123,2016,7,Yes,7,2.0,76000,4,2,3,12,4
549,1079,37,531,2018,7,Yes,4,2.0,74146,4,2,3,12,12
7683,810,50,649,2016,3,Yes,4,1.8,121840,4,2,3,16,12
28382,810,50,649,2016,3,Yes,4,1.8,54317,4,2,3,12,4
18826,531,50,649,2012,3,Yes,4,1.6,112645,4,2,3,7,4
20698,586,37,497,2012,3,Yes,6,1.8,187000,4,2,3,12,12
17562,1249,37,573,2017,3,Yes,4,2.5,39709,4,2,3,11,12
7840,906,42,603,2001,4,No,7,2.0,230000,4,4,3,12,0
20385,906,46,705,2006,3,Yes,7,2.2,210000,4,3,1,11,8
30,906,37,497,2008,3,No,2,1.5,169000,4,2,3,12,8
14454,583,50,649,2011,3,Yes,4,1.6,158787,4,2,3,7,4
15681,1288,46,914,2007,11,No,7,2.0,180000,6,4,1,12,4
19444,915,56,1118,2014,7,Yes,7,3.0,175056,6,2,2,12,12
24462,906,52,883,2007,7,Yes,7,3.0,250000,6,3,2,11,10
23235,707,50,1123,2011,7,Yes,7,2.0,162000,4,2,3,13,4
51746,1077,37,1176,2019,7,No,4,2.0,10200,4,3,3,5,12
19121,531,50,649,2012,3,Yes,4,1.6,103490,4,2,3,7,4
24462,751,37,573,2013,3,Yes,4,2.4,203200,4,2,3,16,4
45734,1091,50,1037,2016,8,Yes,7,2.5,61057,4,2,3,11,4
20165,650,29,450,2016,3,Yes,4,1.4,11200,4,3,3,11,8
