iter	RMSE
0	3.96313903
1	3.814036348
2	3.682148079
3	3.562730301
4	3.467504516
5	3.383237609
6	3.307983557
7	3.227561689
8	3.156983624
9	3.105780028
10	3.063706496
11	3.012106957
12	2.96356634
13	2.933014643
14	2.904949752
15	2.883105241
16	2.853957943
17	2.818066643
18	2.796550198
19	2.777743016
20	2.758218586
21	2.731893602
22	2.709426382
23	2.696753972
24	2.682824382
25	2.668625185
26	2.652929374
27	2.634942959
28	2.615924392
29	2.604725691
30	2.592930308
31	2.57633055
32	2.568366448
33	2.562803407
34	2.558170964
35	2.547671894
36	2.543412923
37	2.535270731
38	2.524207608
39	2.51418093
40	2.508502744
41	2.503403426
42	2.495173129
43	2.485965641
44	2.480972789
45	2.476180294
46	2.470558016
47	2.464964325
48	2.458570255
49	2.453035935
50	2.445930807
51	2.440981548
52	2.43662183
53	2.432119378
54	2.424251921
55	2.41402717
56	2.407347409
57	2.404886762
58	2.402471105
59	2.396550666
60	2.392086966
61	2.389999277
62	2.385580741
63	2.382772231
64	2.378475783
65	2.370948505
66	2.364637524
67	2.359571836
68	2.352797239
69	2.345023778
70	2.341394717
71	2.336326444
72	2.333572346
73	2.330733467
74	2.325367911
75	2.322688857
76	2.315575523
77	2.305938798
78	2.301259363
79	2.297714616
80	2.294457941
81	2.29039262
82	2.285956873
83	2.281992847
84	2.27549158
85	2.270225968
86	2.265207116
87	2.259221349
88	2.257032582
89	2.254252512
90	2.250580328
91	2.249191959
92	2.246491929
93	2.243084185
94	2.2367906
95	2.229297374
96	2.221950513
97	2.215669779
98	2.209913197
99	2.208379483
