iter	Passed	Remaining
0	12	1282
1	25	1258
2	38	1235
3	50	1212
4	63	1203
5	77	1208
6	89	1187
7	101	1171
8	114	1155
9	126	1139
10	139	1125
11	151	1109
12	163	1093
13	174	1073
14	187	1059
15	199	1047
16	210	1027
17	221	1009
18	234	998
19	245	981
20	258	972
21	270	958
22	282	946
23	294	933
24	305	917
25	317	903
26	330	894
27	343	884
28	356	873
29	369	862
30	383	852
31	396	841
32	407	828
33	420	815
34	432	803
35	444	791
36	457	778
37	468	764
38	480	751
39	492	739
40	505	727
41	519	717
42	531	704
43	543	692
44	556	679
45	569	667
46	580	655
47	592	642
48	605	630
49	617	617
50	630	605
51	641	592
52	654	580
53	665	566
54	677	554
55	688	540
56	701	528
57	712	516
58	725	504
59	738	492
60	750	480
61	763	467
62	775	455
63	788	443
64	800	430
65	812	418
66	825	406
67	838	394
68	850	382
69	862	369
70	873	356
71	886	344
72	898	332
73	910	319
74	922	307
75	935	295
76	946	282
77	958	270
78	970	258
79	982	245
80	995	233
81	1008	221
82	1019	208
83	1031	196
84	1043	184
85	1054	171
86	1065	159
87	1077	146
88	1089	134
89	1100	122
90	1112	110
91	1122	97
92	1133	85
93	1145	73
94	1156	60
95	1169	48
96	1181	36
97	1193	24
98	1205	12
99	1216	0
